seq,menu,api_name,api_id,method,url,fit_type,mock_supported,tr_real,tr_mock
130,[국내주식] 시세분석,프로그램매매 투자자매매동향(당일),국내주식-116,GET,/uapi/domestic-stock/v1/quotations/investor-program-trade-today,factor_bulk_or_symbol,N,HHPPG046600C1,모의투자 미지원
131,[국내주식] 시세분석,국내 증시자금 종합,국내주식-193,GET,/uapi/domestic-stock/v1/quotations/mktfunds,other_query,N,FHKST649100C0,모의투자 미지원
132,[국내주식] 시세분석,국내주식 예상체결가 추이,국내주식-118,GET,/uapi/domestic-stock/v1/quotations/exp-price-trend,symbol_snapshot,N,FHPST01810000,모의투자 미지원
134,[국내주식] 시세분석,시장별 투자자매매동향(시세),v1_국내주식-074,GET,/uapi/domestic-stock/v1/quotations/inquire-investor-time-by-market,factor_bulk_or_symbol,N,FHPTJ04030000,모의투자 미지원
135,[국내주식] 시세분석,종목별 프로그램매매추이(체결),v1_국내주식-044,GET,/uapi/domestic-stock/v1/quotations/program-trade-by-stock,symbol_snapshot,N,FHPPG04650101,모의투자 미지원
136,[국내주식] 시세분석,외국계 매매종목 가집계,국내주식-161,GET,/uapi/domestic-stock/v1/quotations/frgnmem-trade-estimate,other_query,N,FHKST644100C0,모의투자 미지원
137,[국내주식] 시세분석,국내주식 시간외예상체결등락률,국내주식-140,GET,/uapi/domestic-stock/v1/ranking/overtime-exp-trans-fluct,symbol_snapshot,N,FHKST11860000,모의투자 미지원
138,[국내주식] 시세분석,종목별 외국계 순매수추이,국내주식-164,GET,/uapi/domestic-stock/v1/quotations/frgnmem-pchs-trend,other_query,N,FHKST644400C0,모의투자 미지원
139,[국내주식] 시세분석,관심종목(멀티종목) 시세조회,국내주식-205,GET,/uapi/domestic-stock/v1/quotations/intstock-multprice,other_query,N,FHKST11300006,모의투자 미지원
140,[국내주식] 순위분석,국내주식 예상체결 상승/하락상위,v1_국내주식-103,GET,/uapi/domestic-stock/v1/ranking/exp-trans-updown,universe_direct,N,FHPST01820000,모의투자 미지원
141,[국내주식] 순위분석,국내주식 호가잔량 순위,국내주식-089,GET,/uapi/domestic-stock/v1/ranking/quote-balance,universe_direct,N,FHPST01720000,모의투자 미지원
142,[국내주식] 순위분석,국내주식 신용잔고 상위,국내주식-109,GET,/uapi/domestic-stock/v1/ranking/credit-balance,universe_direct,N,FHKST17010000,모의투자 미지원
143,[국내주식] 순위분석,국내주식 시간외거래량순위,국내주식-139,GET,/uapi/domestic-stock/v1/ranking/overtime-volume,universe_direct,N,FHPST02350000,모의투자 미지원
144,[국내주식] 순위분석,국내주식 배당률 상위,국내주식-106,GET,/uapi/domestic-stock/v1/ranking/dividend-rate,universe_direct,N,HHKDB13470100,모의투자 미지원
145,[국내주식] 순위분석,국내주식 시간외잔량 순위,v1_국내주식-093,GET,/uapi/domestic-stock/v1/ranking/after-hour-balance,universe_direct,N,FHPST01760000,모의투자 미지원
146,[국내주식] 순위분석,국내주식 공매도 상위종목,국내주식-133,GET,/uapi/domestic-stock/v1/ranking/short-sale,universe_direct,N,FHPST04820000,모의투자 미지원
147,[국내주식] 순위분석,국내주식 이격도 순위,v1_국내주식-095,GET,/uapi/domestic-stock/v1/ranking/disparity,universe_direct,N,FHPST01780000,모의투자 미지원
148,[국내주식] 순위분석,HTS조회상위20종목,국내주식-214,GET,/uapi/domestic-stock/v1/ranking/hts-top-view,universe_direct,N,HHMCM000100C0,모의투자 미지원
149,[국내주식] 순위분석,거래량순위,v1_국내주식-047,GET,/uapi/domestic-stock/v1/quotations/volume-rank,universe_direct,N,FHPST01710000,모의투자 미지원
150,[국내주식] 순위분석,국내주식 수익자산지표 순위,v1_국내주식-090,GET,/uapi/domestic-stock/v1/ranking/profit-asset-index,universe_direct,N,FHPST01730000,모의투자 미지원
151,[국내주식] 순위분석,국내주식 신고/신저근접종목 상위,v1_국내주식-105,GET,/uapi/domestic-stock/v1/ranking/near-new-highlow,universe_direct,N,FHPST01870000,모의투자 미지원
152,[국내주식] 순위분석,국내주식 우선주/괴리율 상위,v1_국내주식-094,GET,/uapi/domestic-stock/v1/ranking/prefer-disparate-ratio,universe_direct,N,FHPST01770000,모의투자 미지원
153,[국내주식] 순위분석,국내주식 대량체결건수 상위,국내주식-107,GET,/uapi/domestic-stock/v1/ranking/bulk-trans-num,universe_direct,N,FHKST190900C0,모의투자 미지원
154,[국내주식] 순위분석,국내주식 재무비율 순위,v1_국내주식-092,GET,/uapi/domestic-stock/v1/ranking/finance-ratio,universe_direct,N,FHPST01750000,모의투자 미지원
155,[국내주식] 순위분석,국내주식 시가총액 상위,v1_국내주식-091,GET,/uapi/domestic-stock/v1/ranking/market-cap,universe_direct,N,FHPST01740000,모의투자 미지원
156,[국내주식] 순위분석,국내주식 당사매매종목 상위,v1_국내주식-104,GET,/uapi/domestic-stock/v1/ranking/traded-by-company,universe_direct,N,FHPST01860000,모의투자 미지원
157,[국내주식] 순위분석,국내주식 등락률 순위,v1_국내주식-088,GET,/uapi/domestic-stock/v1/ranking/fluctuation,universe_direct,N,FHPST01700000,모의투자 미지원
158,[국내주식] 순위분석,국내주식 시장가치 순위,v1_국내주식-096,GET,/uapi/domestic-stock/v1/ranking/market-value,universe_direct,N,FHPST01790000,모의투자 미지원
159,[국내주식] 순위분석,국내주식 관심종목등록 상위,v1_국내주식-102,GET,/uapi/domestic-stock/v1/ranking/top-interest-stock,universe_direct,N,FHPST01800000,모의투자 미지원
160,[국내주식] 순위분석,국내주식 체결강도 상위,v1_국내주식-101,GET,/uapi/domestic-stock/v1/ranking/volume-power,universe_direct,N,FHPST01680000,모의투자 미지원
161,[국내주식] 순위분석,국내주식 시간외등락율순위,국내주식-138,GET,/uapi/domestic-stock/v1/ranking/overtime-fluctuation,universe_direct,N,FHPST02340000,모의투자 미지원
253,[해외주식] 기본시세,해외주식 체결추이,해외주식-037,GET,/uapi/overseas-price/v1/quotations/inquire-ccnl,symbol_snapshot,N,HHDFS76200300,모의투자 미지원
254,[해외주식] 기본시세,해외주식 기간별시세,v1_해외주식-010,GET,/uapi/overseas-price/v1/quotations/dailyprice,time_series_calc,Y,HHDFS76240000,HHDFS76240000
255,[해외주식] 기본시세,해외결제일자조회,해외주식-017,GET,/uapi/overseas-stock/v1/quotations/countries-holiday,other_query,N,CTOS5011R,모의투자 미지원
256,[해외주식] 기본시세,해외주식 현재체결가,v1_해외주식-009,GET,/uapi/overseas-price/v1/quotations/price,symbol_snapshot,Y,HHDFS00000300,HHDFS00000300
257,[해외주식] 기본시세,해외주식 복수종목 시세조회,해외주식 복수종목 시세조회,GET,/uapi/overseas-price/v1/quotations/multprice,other_query,Y,HHDFS76220000 ,미지원 
258,[해외주식] 기본시세,해외주식조건검색,v1_해외주식-015,GET,/uapi/overseas-price/v1/quotations/inquire-search,universe_direct,Y,HHDFS76410000,HHDFS76410000
259,[해외주식] 기본시세,해외주식 상품기본정보,v1_해외주식-034,GET,/uapi/overseas-price/v1/quotations/search-info,symbol_snapshot,N,CTPF1702R,모의투자 미지원
260,[해외주식] 기본시세,해외지수분봉조회,v1_해외주식-031,GET,/uapi/overseas-price/v1/quotations/inquire-time-indexchartprice,time_series_calc,N,FHKST03030200,모의투자 미지원
261,[해외주식] 기본시세,해외주식분봉조회,v1_해외주식-030,GET,/uapi/overseas-price/v1/quotations/inquire-time-itemchartprice,time_series_calc,N,HHDFS76950200,모의투자 미지원
262,[해외주식] 기본시세,해외주식 현재가상세,v1_해외주식-029,GET,/uapi/overseas-price/v1/quotations/price-detail,symbol_snapshot,N,HHDFS76200200,모의투자 미지원
263,[해외주식] 기본시세,해외주식 업종별코드조회,해외주식-049,GET,/uapi/overseas-price/v1/quotations/industry-price,other_query,N,HHDFS76370100,모의투자 미지원
264,[해외주식] 기본시세,해외주식 종목/지수/환율기간별시세(일/주/월/년),v1_해외주식-012,GET,/uapi/overseas-price/v1/quotations/inquire-daily-chartprice,time_series_calc,Y,FHKST03030100,FHKST03030100
265,[해외주식] 기본시세,해외주식 업종별시세,해외주식-048,GET,/uapi/overseas-price/v1/quotations/industry-theme,other_query,N,HHDFS76370000,모의투자 미지원
266,[해외주식] 기본시세,해외주식 현재가 호가,해외주식-033,GET,/uapi/overseas-price/v1/quotations/inquire-asking-price,symbol_snapshot,N,HHDFS76200100,모의투자 미지원
267,[해외주식] 시세분석,해외주식 거래증가율순위,해외주식-045,GET,/uapi/overseas-stock/v1/ranking/trade-growth,universe_direct,N,HHDFS76330000,모의투자 미지원
268,[해외주식] 시세분석,해외주식 기간별권리조회,해외주식-052,GET,/uapi/overseas-price/v1/quotations/period-rights,other_query,N,CTRGT011R,모의투자 미지원
269,[해외주식] 시세분석,해외주식 가격급등락,해외주식-038,GET,/uapi/overseas-stock/v1/ranking/price-fluct,other_query,N,HHDFS76260000,모의투자 미지원
270,[해외주식] 시세분석,해외주식 거래대금순위,해외주식-044,GET,/uapi/overseas-stock/v1/ranking/trade-pbmn,universe_direct,N,HHDFS76320010,모의투자 미지원
271,[해외주식] 시세분석,해외주식 거래량급증,해외주식-039,GET,/uapi/overseas-stock/v1/ranking/volume-surge,universe_direct,N,HHDFS76270000,모의투자 미지원
272,[해외주식] 시세분석,해외주식 신고/신저가,해외주식-042,GET,/uapi/overseas-stock/v1/ranking/new-highlow,other_query,N,HHDFS76300000,모의투자 미지원
273,[해외주식] 시세분석,해외주식 매수체결강도상위,해외주식-040,GET,/uapi/overseas-stock/v1/ranking/volume-power,universe_direct,N,HHDFS76280000,모의투자 미지원
274,[해외주식] 시세분석,해외주식 거래회전율순위,해외주식-046,GET,/uapi/overseas-stock/v1/ranking/trade-turnover,universe_direct,N,HHDFS76340000,모의투자 미지원
275,[해외주식] 시세분석,해외뉴스종합(제목),해외주식-053,GET,/uapi/overseas-price/v1/quotations/news-title,other_query,N,HHPSTH60100C1,모의투자 미지원
276,[해외주식] 시세분석,당사 해외주식담보대출 가능 종목,해외주식-051,GET,/uapi/overseas-price/v1/quotations/colable-by-company,other_query,N,CTLN4050R,모의투자 미지원
277,[해외주식] 시세분석,해외주식 시가총액순위,해외주식-047,GET,/uapi/overseas-stock/v1/ranking/market-cap,universe_direct,N,HHDFS76350100,모의투자 미지원
278,[해외주식] 시세분석,해외속보(제목),해외주식-055,GET,/uapi/overseas-price/v1/quotations/brknews-title,other_query,N,FHKST01011801,모의투자 미지원
279,[해외주식] 시세분석,해외주식 상승율/하락율,해외주식-041,GET,/uapi/overseas-stock/v1/ranking/updown-rate,other_query,N,HHDFS76290000,모의투자 미지원
280,[해외주식] 시세분석,해외주식 권리종합,해외주식-050,GET,/uapi/overseas-price/v1/quotations/rights-by-ice,other_query,N,HHDFS78330900,모의투자 미지원
281,[해외주식] 시세분석,해외주식 거래량순위,해외주식-043,GET,/uapi/overseas-stock/v1/ranking/trade-vol,universe_direct,N,HHDFS76310010,모의투자 미지원
