menu,api_name,api_id,method,url,tr_real,tr_mock
[국내주식] 업종/기타,국내업종 시간별지수(분),국내주식-119,GET,/uapi/domestic-stock/v1/quotations/inquire-index-timeprice,FHPUP02110200,모의투자 미지원
[국내주식] 업종/기타,국내업종 시간별지수(초),국내주식-064,GET,/uapi/domestic-stock/v1/quotations/inquire-index-tickprice,FHPUP02110100,모의투자 미지원
[국내주식] 업종/기타,국내업종 일자별지수,v1_국내주식-065,GET,/uapi/domestic-stock/v1/quotations/inquire-index-daily-price,FHPUP02120000,모의투자 미지원
[국내주식] 업종/기타,국내업종 현재지수,v1_국내주식-063,GET,/uapi/domestic-stock/v1/quotations/inquire-index-price,FHPUP02100000,모의투자 미지원
[국내주식] 업종/기타,국내주식 예상체결 전체지수,국내주식-122,GET,/uapi/domestic-stock/v1/quotations/exp-total-index,FHKUP11750000,모의투자 미지원
[국내주식] 업종/기타,국내주식 예상체결지수 추이,국내주식-121,GET,/uapi/domestic-stock/v1/quotations/exp-index-trend,FHPST01840000,모의투자 미지원
[국내주식] 업종/기타,국내주식업종기간별시세(일/주/월/년),v1_국내주식-021,GET,/uapi/domestic-stock/v1/quotations/inquire-daily-indexchartprice,FHKUP03500100,FHKUP03500100
[국내주식] 업종/기타,국내휴장일조회,국내주식-040,GET,/uapi/domestic-stock/v1/quotations/chk-holiday,CTCA0903R,모의투자 미지원
[국내주식] 업종/기타,금리 종합(국내채권/금리),국내주식-155,GET,/uapi/domestic-stock/v1/quotations/comp-interest,FHPST07020000,모의투자 미지원
[국내주식] 업종/기타,변동성완화장치(VI) 현황,v1_국내주식-055,GET,/uapi/domestic-stock/v1/quotations/inquire-vi-status,FHPST01390000,모의투자 미지원
[국내주식] 업종/기타,업종 분봉조회,v1_국내주식-045,GET,/uapi/domestic-stock/v1/quotations/inquire-time-indexchartprice,FHKUP03500200,모의투자 미지원
[국내주식] 업종/기타,종합 시황/공시(제목),국내주식-141,GET,/uapi/domestic-stock/v1/quotations/news-title,FHKST01011800,모의투자 미지원
[국내주식] 종목정보,국내주식 기타주요비율,v1_국내주식-082,GET,/uapi/domestic-stock/v1/finance/other-major-ratios,FHKST66430500,모의투자 미지원
[국내주식] 종목정보,국내주식 당사 신용가능종목,국내주식-111,GET,/uapi/domestic-stock/v1/quotations/credit-by-company,FHPST04770000,모의투자 미지원
[국내주식] 종목정보,국내주식 대차대조표,v1_국내주식-078,GET,/uapi/domestic-stock/v1/finance/balance-sheet,FHKST66430100,모의투자 미지원
[국내주식] 종목정보,국내주식 성장성비율,v1_국내주식-085,GET,/uapi/domestic-stock/v1/finance/growth-ratio,FHKST66430800,모의투자 미지원
[국내주식] 종목정보,국내주식 손익계산서,v1_국내주식-079,GET,/uapi/domestic-stock/v1/finance/income-statement,FHKST66430200,모의투자 미지원
[국내주식] 종목정보,국내주식 수익성비율,v1_국내주식-081,GET,/uapi/domestic-stock/v1/finance/profit-ratio,FHKST66430400,모의투자 미지원
[국내주식] 종목정보,국내주식 안정성비율,v1_국내주식-083,GET,/uapi/domestic-stock/v1/finance/stability-ratio,FHKST66430600,모의투자 미지원
[국내주식] 종목정보,국내주식 재무비율,v1_국내주식-080,GET,/uapi/domestic-stock/v1/finance/financial-ratio,FHKST66430300,모의투자 미지원
[국내주식] 종목정보,국내주식 종목추정실적,국내주식-187,GET,/uapi/domestic-stock/v1/quotations/estimate-perform,HHKST668300C0,모의투자 미지원
[국내주식] 종목정보,국내주식 종목투자의견,국내주식-188,GET,/uapi/domestic-stock/v1/quotations/invest-opinion,FHKST663300C0,모의투자 미지원
[국내주식] 종목정보,국내주식 증권사별 투자의견,국내주식-189,GET,/uapi/domestic-stock/v1/quotations/invest-opbysec,FHKST663400C0,모의투자 미지원
[국내주식] 종목정보,당사 대주가능 종목,국내주식-195,GET,/uapi/domestic-stock/v1/quotations/lendable-by-company,CTSC2702R,모의투자 미지원
[국내주식] 종목정보,상품기본조회,v1_국내주식-029,GET,/uapi/domestic-stock/v1/quotations/search-info,CTPF1604R,모의투자 미지원
[국내주식] 종목정보,예탁원정보(공모주청약일정),국내주식-151,GET,/uapi/domestic-stock/v1/ksdinfo/pub-offer,HHKDB669108C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(무상증자일정),국내주식-144,GET,/uapi/domestic-stock/v1/ksdinfo/bonus-issue,HHKDB669101C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(배당일정),국내주식-145,GET,/uapi/domestic-stock/v1/ksdinfo/dividend,HHKDB669102C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(상장정보일정),국내주식-150,GET,/uapi/domestic-stock/v1/ksdinfo/list-info,HHKDB669107C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(실권주일정),국내주식-152,GET,/uapi/domestic-stock/v1/ksdinfo/forfeit,HHKDB669109C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(액면교체일정),국내주식-148,GET,/uapi/domestic-stock/v1/ksdinfo/rev-split,HHKDB669105C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(유상증자일정),국내주식-143,GET,/uapi/domestic-stock/v1/ksdinfo/paidin-capin,HHKDB669100C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(의무예치일정),국내주식-153,GET,/uapi/domestic-stock/v1/ksdinfo/mand-deposit,HHKDB669110C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(자본감소일정),국내주식-149,GET,/uapi/domestic-stock/v1/ksdinfo/cap-dcrs,HHKDB669106C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(주식매수청구일정),국내주식-146,GET,/uapi/domestic-stock/v1/ksdinfo/purreq,HHKDB669103C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(주주총회일정),국내주식-154,GET,/uapi/domestic-stock/v1/ksdinfo/sharehld-meet,HHKDB669111C0,모의투자 미지원
[국내주식] 종목정보,예탁원정보(합병/분할일정),국내주식-147,GET,/uapi/domestic-stock/v1/ksdinfo/merger-split,HHKDB669104C0,모의투자 미지원
[국내주식] 종목정보,주식기본조회,v1_국내주식-067,GET,/uapi/domestic-stock/v1/quotations/search-stock-info,CTPF1002R,모의투자 미지원
[국내주식] 주문/계좌,기간별계좌권리현황조회,국내주식-211,GET,/uapi/domestic-stock/v1/trading/period-rights,CTRGA011R,모의투자 미지원
[국내주식] 주문/계좌,기간별매매손익현황조회,v1_국내주식-060,GET,/uapi/domestic-stock/v1/trading/inquire-period-trade-profit,TTTC8715R,모의투자 미지원
[국내주식] 주문/계좌,기간별손익일별합산조회,v1_국내주식-052,GET,/uapi/domestic-stock/v1/trading/inquire-period-profit,TTTC8708R,모의투자 미지원
[국내주식] 주문/계좌,매도가능수량조회,국내주식-165,GET,/uapi/domestic-stock/v1/trading/inquire-psbl-sell,TTTC8408R,모의투자 미지원
[국내주식] 주문/계좌,매수가능조회,v1_국내주식-007,GET,/uapi/domestic-stock/v1/trading/inquire-psbl-order,TTTC8908R,VTTC8908R
[국내주식] 주문/계좌,신용매수가능조회,v1_국내주식-042,GET,/uapi/domestic-stock/v1/trading/inquire-credit-psamount,TTTC8909R,모의투자 미지원
[국내주식] 주문/계좌,주식예약주문,v1_국내주식-017,POST,/uapi/domestic-stock/v1/trading/order-resv,CTSC0008U,모의투자 미지원
[국내주식] 주문/계좌,주식예약주문정정취소,"v1_국내주식-018,019",POST,/uapi/domestic-stock/v1/trading/order-resv-rvsecncl,(예약취소) CTSC0009U (예약정정) CTSC0013U,모의투자 미지원
[국내주식] 주문/계좌,주식예약주문조회,v1_국내주식-020,GET,/uapi/domestic-stock/v1/trading/order-resv-ccnl,CTSC0004R,모의투자 미지원
[국내주식] 주문/계좌,주식일별주문체결조회,v1_국내주식-005,GET,/uapi/domestic-stock/v1/trading/inquire-daily-ccld,(3개월이내) TTTC0081R (3개월이전) CTSC9215R,(3개월이내) VTTC0081R (3개월이전) VTSC9215R
[국내주식] 주문/계좌,주식잔고조회,v1_국내주식-006,GET,/uapi/domestic-stock/v1/trading/inquire-balance,TTTC8434R,VTTC8434R
[국내주식] 주문/계좌,주식잔고조회_실현손익,v1_국내주식-041,GET,/uapi/domestic-stock/v1/trading/inquire-balance-rlz-pl,TTTC8494R,모의투자 미지원
[국내주식] 주문/계좌,주식정정취소가능주문조회,v1_국내주식-004,GET,/uapi/domestic-stock/v1/trading/inquire-psbl-rvsecncl,TTTC0084R,모의투자 미지원
[국내주식] 주문/계좌,주식주문(신용),v1_국내주식-002,POST,/uapi/domestic-stock/v1/trading/order-credit,(매도) TTTC0051U (매수) TTTC0052U,모의투자 미지원
